year,amount,inflation rate
1960,100,0.017182130584192438
1961,101.01351351351352,0.010135135135135039
1962,102.02702702702702,0.010033444816053536
1963,103.37837837837837,0.013245033112582853
1964,104.72972972972971,0.013071895424836555
1965,106.4189189189189,0.016129032258064516
1966,109.45945945945945,0.028571428571428525
1967,112.83783783783782,0.0308641975308642
1968,117.56756756756755,0.04191616766467062
1969,123.98648648648648,0.05459770114942546
1970,131.08108108108107,0.057220708446866324
1971,136.82432432432432,0.043814432989690795
1972,141.2162162162162,0.0320987654320987
1973,149.99999999999997,0.06220095693779908
1974,166.55405405405403,0.11036036036036033
1975,181.75675675675674,0.09127789046653144
1976,192.2297297297297,0.057620817843866204
1977,204.72972972972974,0.06502636203866438
1978,220.27027027027026,0.07590759075907592
1979,245.27027027027023,0.11349693251533728
1980,278.3783783783784,0.13498622589531697
1981,307.0945945945946,0.10315533980582524
1982,326.0135135135135,0.06160616061606154
1983,336.48648648648646,0.03212435233160616
1984,351.0135135135135,0.04317269076305232
1985,363.5135135135135,0.03561116458132809
1986,370.2702702702702,0.01858736059479554
1987,383.78378378378375,0.03649635036496351
1988,399.66216216216213,0.041373239436619746
1989,418.91891891891885,0.04818258664412513
1990,441.55405405405406,0.05403225806451604
1991,460.1351351351351,0.04208110175975517
1992,473.9864864864865,0.030102790014684456
1993,488.1756756756756,0.029935851746257933
1994,500.6756756756756,0.02560553633217985
1995,514.8648648648648,0.028340080971660037
1996,530.0675675675675,0.02952755905511811
1997,542.2297297297297,0.022944550669216024
1998,550.6756756756756,0.01557632398753894
1999,562.8378378378378,0.022085889570552113
2000,581.7567567567567,0.033613445378151224
2001,598.3108108108108,0.028455284552845562
2002,607.7702702702703,0.015810276679841962
2003,621.6216216216216,0.022790439132851552
2004,638.1756756756757,0.026630434782608726
2005,659.7972972972973,0.033880359978824805
2006,681.081081081081,0.03225806451612894
2007,700.4797297297298,0.02848214285714295
2008,727.375,0.038395501152684856
2009,724.7871621621622,-0.0035577767146764846
2010,736.6756756756756,0.016402765024214963
2011,759.9290540540541,0.031565285981582626
2012,775.6554054054053,0.02069449939761447
2013,787.0168918918919,0.014647595320435202
2014,799.7837837837837,0.016221877857286952
2015,800.733108108108,0.0011869762097864538
2016,810.8344594594595,0.012615128872612551
2017,828.108108108108,0.021303545313261694
2018,848.3338963963851,0.024424091601378903
2019,867.4290540540542,0.022509011768576937
